lat,lon,temperature_current_mean,temperature_prev_mean,temperature_delta,temperature_change_per_day,precipitation_current_mean,precipitation_prev_mean,precipitation_delta,precipitation_change_per_day,humidity_current_mean,humidity_prev_mean,humidity_delta,humidity_change_per_day,soil_moisture_0_to_7cm_current_mean,soil_moisture_0_to_7cm_prev_mean,soil_moisture_0_to_7cm_delta,soil_moisture_0_to_7cm_change_per_day,et_fao_56_current_mean,et_fao_56_prev_mean,et_fao_56_delta,et_fao_56_change_per_day,soil_temp_0_7cm_current_mean,soil_temp_0_7cm_prev_mean,soil_temp_0_7cm_delta,soil_temp_0_7cm_change_per_day
35.0,88.0,-7.1125,-3.9875,-3.125,-0.44642857142857145,0.0,0.0,0.0,0.0,21.479166666666668,22.791666666666664,-1.3124999999999964,-0.1874999999999995,,,,,,,,,,,,
25.0,96.0,24.647916666666667,25.06875,-0.4208333333333343,-0.06011904761904775,0.05,0.2,-0.15000000000000002,-0.021428571428571432,74.72916666666666,84.22916666666666,-9.5,-1.3571428571428572,,,,,,,,,,,,
37.0,88.0,-5.920833333333333,-3.352083333333333,-2.5687500000000005,-0.3669642857142858,0.0,0.0,0.0,0.0,22.375,24.5625,-2.1875,-0.3125,,,,,,,,,,,,
23.0,98.0,22.447916666666668,22.070833333333336,0.37708333333333144,0.05386904761904735,0.8500000000000001,4.25,-3.4,-0.4857142857142857,77.27083333333333,86.16666666666667,-8.895833333333343,-1.2708333333333346,,,,,,,,,,,,
35.0,72.0,13.808333333333334,14.95,-1.1416666666666657,-0.16309523809523796,0.0,0.0,0.0,0.0,51.729166666666664,57.145833333333336,-5.416666666666671,-0.7738095238095245,,,,,,,,,,,,
33.0,84.0,-1.4291666666666667,1.4083333333333332,-2.8375,-0.40535714285714286,0.0,0.0,0.0,0.0,33.45833333333333,29.166666666666664,4.291666666666664,0.6130952380952378,,,,,,,,,,,,
35.0,90.0,-6.245833333333334,-3.2937499999999997,-2.952083333333334,-0.42172619047619053,0.0,0.1,-0.1,-0.014285714285714287,24.979166666666668,26.104166666666668,-1.125,-0.16071428571428573,,,,,,,,,,,,
25.0,98.0,12.985416666666667,12.38125,0.6041666666666679,0.08630952380952397,0.0,2.6500000000000004,-2.6500000000000004,-0.3785714285714286,62.89583333333333,90.25,-27.35416666666667,-3.907738095238096,,,,,,,,,,,,
37.0,72.0,-14.060416666666667,-9.372916666666667,-4.6875,-0.6696428571428571,0.9,1.9000000000000001,-1.0,-0.14285714285714285,68.3125,57.27083333333333,11.041666666666671,1.577380952380953,,,,,,,,,,,,
31.0,86.0,,2.5458333333333334,,,,0.0,,,,44.14583333333333,,,,,,,,,,,,,,
29.0,98.0,0.12083333333333333,1.03125,-0.9104166666666667,-0.13005952380952382,0.0,0.0,0.0,0.0,53.854166666666664,41.70833333333333,12.145833333333336,1.735119047619048,,,,,,,,,,,,
14.0,79.0,,25.152083333333334,,,,3.8,,,,87.66666666666667,,,,,,,,,,,,,,
8.0,75.0,28.09583333333333,26.83958333333333,1.2562500000000014,0.1794642857142859,4.75,16.05,-11.3,-1.6142857142857143,78.02083333333334,81.0,-2.979166666666657,-0.42559523809523675,,,,,,,,,,,,
37.0,90.0,-3.2020833333333334,-1.4,-1.8020833333333335,-0.2574404761904762,0.0,0.0,0.0,0.0,23.083333333333336,29.979166666666668,-6.895833333333332,-0.9851190476190474,,,,,,,,,,,,
35.0,74.0,-2.0125,-1.2645833333333334,-0.7479166666666668,-0.10684523809523812,0.0,0.2,-0.2,-0.028571428571428574,62.0,68.22916666666666,-6.229166666666657,-0.889880952380951,,,,,,,,,,,,
33.0,86.0,-3.8083333333333336,-0.93125,-2.8770833333333337,-0.4110119047619048,0.0,0.0,0.0,0.0,33.66666666666667,30.916666666666664,2.750000000000007,0.39285714285714385,,,,,,,,,,,,
25.0,82.0,25.049999999999997,25.727083333333333,-0.6770833333333357,-0.09672619047619081,1.6500000000000001,0.3,1.35,0.19285714285714287,84.95833333333333,81.47916666666667,3.479166666666657,0.49702380952380815,,,,,,,,,,,,
35.0,92.0,-6.4229166666666675,-3.2770833333333336,-3.145833333333334,-0.449404761904762,0.0,0.05,-0.05,-0.0071428571428571435,31.729166666666664,37.89583333333333,-6.166666666666664,-0.8809523809523806,,,,,,,,,,,,
37.0,74.0,-14.597916666666666,-10.877083333333331,-3.720833333333335,-0.5315476190476193,0.6000000000000001,0.05,0.55,0.07857142857142858,85.08333333333334,70.875,14.208333333333343,2.029761904761906,,,,,,,,,,,,
31.0,88.0,-1.4770833333333333,0.42708333333333337,-1.9041666666666668,-0.27202380952380956,3.75,0.0,3.75,0.5357142857142857,35.729166666666664,19.541666666666664,16.1875,2.3125,,,,,,,,,,,,
23.0,84.0,22.0,22.177083333333336,-0.1770833333333357,-0.025297619047619384,0.75,0.4,0.35,0.049999999999999996,84.25,73.70833333333334,10.541666666666657,1.5059523809523796,,,,,,,,,,,,
37.0,92.0,-1.4333333333333333,0.48750000000000004,-1.9208333333333334,-0.27440476190476193,0.0,0.0,0.0,0.0,25.8125,24.5625,1.25,0.17857142857142858,,,,,,,,,,,,
35.0,76.0,-6.004166666666666,-2.872916666666667,-3.1312499999999996,-0.44732142857142854,0.05,1.1,-1.05,-0.15,52.0,45.541666666666664,6.458333333333336,0.922619047619048,,,,,,,,,,,,
33.0,88.0,-4.60625,-1.4666666666666666,-3.1395833333333334,-0.4485119047619048,0.05,0.0,0.05,0.0071428571428571435,28.333333333333336,18.833333333333336,9.5,1.3571428571428572,,,,,,,,,,,,
25.0,84.0,25.739583333333332,26.65625,-0.9166666666666679,-0.13095238095238113,1.9500000000000002,0.0,1.9500000000000002,0.2785714285714286,83.04166666666666,79.27083333333333,3.7708333333333286,0.5386904761904755,,,,,,,,,,,,
35.0,94.0,-6.352083333333333,-3.91875,-2.4333333333333327,-0.34761904761904755,0.0,0.5,-0.5,-0.07142857142857142,33.625,45.02083333333333,-11.395833333333329,-1.6279761904761898,,,,,,,,,,,,
31.0,72.0,23.81458333333333,24.285416666666663,-0.47083333333333144,-0.0672619047619045,0.0,0.0,0.0,0.0,62.20833333333333,58.854166666666664,3.3541666666666643,0.47916666666666635,,,,,,,,,,,,
29.0,84.0,0.475,2.75,-2.275,-0.325,6.8500000000000005,0.0,6.8500000000000005,0.9785714285714286,51.208333333333336,24.645833333333332,26.562500000000004,3.7946428571428577,,,,,,,,,,,,
12.0,77.0,22.8125,23.833333333333336,-1.0208333333333357,-0.14583333333333368,4.199999999999999,2.6,1.5999999999999992,0.22857142857142845,79.52083333333333,81.33333333333334,-1.8125000000000142,-0.25892857142857345,,,,,,,,,,,,
37.0,76.0,,3.1916666666666664,,,,0.0,,,,39.5625,,,,,,,,,,,,,,
31.0,90.0,-0.08958333333333335,1.4604166666666667,-1.55,-0.22142857142857145,1.85,0.0,1.85,0.2642857142857143,43.97916666666667,32.02083333333333,11.958333333333343,1.7083333333333346,,,,,,,,,,,,
23.0,86.0,26.58125,26.98125,-0.3999999999999986,-0.05714285714285694,3.0999999999999996,0.0,3.0999999999999996,0.4428571428571428,81.60416666666666,72.02083333333333,9.583333333333329,1.3690476190476184,,,,,,,,,,,,
37.0,94.0,3.6291666666666664,5.8375,-2.208333333333334,-0.3154761904761906,0.0,0.0,0.0,0.0,28.833333333333332,23.854166666666668,4.979166666666664,0.7113095238095235,,,,,,,,,,,,
