landslide_id,lat,lon,event_date,landslide_category,country
23913618,10.9628,77.5947,2013-06-25,landslide,India
23913601,30.7666,78.7963,2011-06-29,landslide,India
23913610,28.3875,82.6474,2011-09-17,landslide,Nepal
23913599,36.66335732,74.87601106000001,2010-08-06,landslide,Pakistan
23913616,29.7986,80.417,2013-06-16,landslide,India
23913604,31.0188,78.4129,2011-07-09,landslide,India
23913630,27.83196401,84.54704620999999,2017-07-03,landslide,Nepal
23913624,28.145796,84.06901500000001,2016-09-06,landslide,Nepal
23913593,27.9447,84.2279,2009-07-02,landslide,Nepal
23913626,26.1445447,94.24416766,2017-07-01,landslide,India
23913632,27.833565,85.201673,2016-09-04,landslide,Nepal
23913629,22.77997113,92.03513581,2017-07-02,landslide,Bangladesh
23913627,21.23699085,92.10434768,2017-07-05,landslide,Bangladesh
23913614,27.6558,88.605,2012-09-19,landslide,India
23913620,25.7131,94.0885,2013-07-17,mudslide,India
23913613,31.0226,77.1029,2012-09-18,landslide,India
23913603,30.7652,78.5925,2011-07-09,landslide,India
23913602,28.0889,83.2934,2011-07-03,landslide,Nepal
23913619,28.4311,82.1847,2013-07-14,landslide,Nepal
23913595,28.1046,83.8791,2009-07-31,landslide,Nepal
23913633,26.1061808,91.85158907,2017-07-03,landslide,India
23913637,27.98531715,94.21263589,2017-07-04,landslide,India
23913641,21.42181705,92.17584376,2017-07-05,landslide,Bangladesh
23913643,26.90298048,88.29518925,2017-07-05,landslide,India
23913638,26.11613908,94.24222574,2017-07-01,landslide,India
23913644,23.69461107,92.87641207,2017-06-28,landslide,India
23913647,26.3312531,94.55427723,2017-07-01,landslide,India
23913660,34.27703802,75.46743477999999,2017-06-05,landslide,India
23913642,27.97875751,94.26296826,2017-07-04,landslide,India
23913659,28.069957,85.01,2016-08-14,landslide,Nepal
23913664,24.21988831,93.20266204,2017-06-26,landslide,India
23913667,11.34165808,76.8694278,2017-06-01,landslide,India
23913665,27.6835,86.1804,2016-08-09,landslide,Nepal
23913671,25.15246863,92.94670614,2017-06-04,landslide,India
23913672,30.73315585,79.49231617,2017-05-20,landslide,India
23913676,13.90074546,74.66018578,2017-06-12,landslide,India
23913669,32.62803,75.37123,2017-06-21,landslide,India
23913668,22.65620215,93.61589869,2017-05-29,landslide,Myanmar
23913679,29.60012,80.63000199999999,2017-06-29,landslide,Nepal
23913674,28.372874000000003,83.567989,2016-08-16,landslide,Nepal
23913690,13.87803507,74.6246332,2017-06-12,landslide,India
23913686,29.48,82.2896,2016-08-09,landslide,Nepal
23913685,30.33597362,79.31958144000001,2017-06-06,landslide,India
23913696,22.65242372,92.15898865,2017-06-13,landslide,Bangladesh
23913692,33.01739981,74.93828040999999,2017-06-21,landslide,India
23913693,22.59420297,92.16404889,2017-06-12,landslide,Bangladesh
23913700,32.94818322,75.12206351,2017-06-21,rock_fall,India
23913698,31.70779,76.932771,2016-08-09,landslide,India
23913689,14.42827957,74.41606625,2017-06-11,landslide,India
23913703,30.86642127,76.99790295,2017-06-29,landslide,India
23913706,30.94222039,76.80054202,2017-06-07,landslide,India
23913713,27.058803840000003,93.54136779,2017-06-21,landslide,India
23913709,28.28120123,83.86441477000001,2017-06-27,landslide,Nepal
